words,urlDrugName,effectiveness,sideEffects,rating
Treatments benefits was the relaxation of legs at bedtime so I could sleep.,requip,2.0,1.0,10.0
Improved ability to focus and concentrate. Memory retention better. Improved energy. Mainly helped relieve brain fog that is common with Chronic Fatigue/Fibromyalgia. Especially noticeable while working. Able to function better and work longer# more like my old self.,adipex-p,2.0,1.0,10.0
I had tried several allergy medicines# but had the side effects of extremely dry eyes - so dry that I blinked constantly and my eyes felt achy. Flonase has controlled my allergies fairly well without the dry eye side effects.  I still have drainage (which I have always had)# but it isn't too bad and I don't get sinus infections or pain too often. I have been happy with it.,flonase,1.0,3.0,8.0
The patient has been taking this in hopes of fighting the depression he is dealing with while going through cancer treatments. He has been taking this drug for one month now and has noticed markable improvements. He is able to concentrate better and focus better. He seems to be in much better spirits and is in all around better spirits.,zoloft,1.0,3.0,9.0
After several months using these drops I really could not tell much benefit. However# when I stopped  using them for a month the dry eye problem was bad enough to make me realize they had been helping enough to make me realize I was better off with them than without. I continue to use them.,restasis,3.0,3.0,7.0
It has worked pretty well at lifting my depression symptoms. Not dramatic effects but enough to help. It also decreased my appetite and I lost about 10 lbs and didn't gain it back.,lexapro,1.0,1.0,8.0
The abscess cleared totally after taking the stated dose for 4 days.  The full 7 day course was however taken.,dispermox,2.0,3.0,10.0
It helped with the dizziness only because it made me so sleepy I couldn't stay up to notice the dizziness!,antivert,3.0,4.0,5.0
This drug initially provided a modest suppression of appetite. However# within one week my appetite was as great as ever. Given that this medication is not covered by insurance# its virtual ineffectiveness is particularly noteworthy.,meridia,4.0,3.0,6.0
I was able to fall asleep and stay asleep.,trazodone,2.0,3.0,9.0
After smoking for 41 years# I no longer smoke and can't believe I ever did.,zyban,2.0,3.0,10.0
Deppression disappeared. Anxiety disappeared. Since I have been on Lexapro I have realised I have been depressed most of my life. I have a very strong family history of major depression. I was in denial to the fact I was depressed. When you have always been depressed you don't know any different. Since Lexapro I have felt alot calmer and happier. The intense guilt I felt about everything has almost gone. My mind would also constantly relieve traumatic past events and mistakes I had made. I really didn't ever want to wake up in the morning - but now I do. The depressive need to sleep in the day time has gone. I am also becoming much less socially isolated# more confident and have began ejoying life. I would have liked to find Lexapro Many years ago.,lexapro,2.0,1.0,10.0
Lowering of blood sugar without risk of hypoglycemia,glucophage,2.0,3.0,10.0
The benefits were having clearer skin between month 2 and month 6.My skin did clear but i did still experience some smaller cystic breakouts# which was disappointing.,accutane,3.0,1.0,7.0
Lost 8 kg during 6 months# which would have been more if eating healthier and exercising.,xenical,1.0,4.0,6.0
i stopped crying# and could breath better,lexapro,1.0,3.0,10.0
This is an NSRI# different from an SSRI because it works on more than one brain chemical. When an SSRI is ineffective or a patient finds that after a period of time a working drug stops working and symptoms of depression return they may be advised to try an NSRI. This was the case with me. I have been treated for my depression for years and had done extremely well for periods of time on several different drugs at different times. Moving from one to the next as I bottomed out on each. Celexa and Lexapro being the most recent. When Lexapro let me down after a couple of years I was advised to try Pristiq which was just released only a few months before my doctor suggested it. I was extremely hesitant as I did not want to go through another adjustment period of sleeplessness# headaches# possible weight gain# sexual issues# etc. You know the drill if you have taken drugs for deperession. So I chose to stay on my Lexapro and be depressed# hoping that it would start working again at a higher dose. Wrong. Getting to the end of my rope with my depression I finally decided to bite the bullet and try the Prestiq. My depression disappeared within 3 weeks leaving me feeling better than I had in months. I began smiling again and fully functioning doing the things I enjoy and had let slide. My sense of well being and hopefulness for the future returned.,pristiq,2.0,3.0,10.0
my legs stay still so i can get to sleep and stay asleep,requip,2.0,3.0,8.0
|Parixetine resolved all the problems that made take that drug. These are :
Reduce Anxiety
Resolve sleeping problems# although at the beginning( first month) had more insomnia than normal) 
High Improvement in mood|,paxil,2.0,4.0,8.0
I have complex partial seizures that secondarily generalize. I was having up to 5 a week of the generalized ones in my sleep and getting injuries from them when I started topamax. The topamax stopped the generalization. I continued to have complex partials# but those are nothing in comparison to a tonic clonic seizure. I have only had one tonic clonic since being at the max dose of topamax.,topamax,2.0,4.0,7.0
Less pain with same symptoms,zoloft,3.0,1.0,4.0
The medication worked great and cleared up symptoms immediately (sore throat# coughing# et cetera).,augmentin,2.0,4.0,3.0
Very effective initially. A lot more energy# able to focus# and more vibrant. I think its no longer working after 7 years and think I am tolerant of it and not receiving the same benefits as the initial years.,effexor,1.0,1.0,8.0
no benefits# only negatives.,metrogel,5.0,2.0,1.0
None - did not work,penlac,5.0,3.0,1.0
Sleeping through the night,trazodone,2.0,4.0,8.0
After taking Wellbutrin for approximately 2 months I noticed a considerable decrease in anxiety and morbid intrusive thoughts# which improved my depression feeling considerably. I also noticed that I had an easier time quitting smoking. I could be around smokers and not feel an urge to smoke# which had never happened in previous attempts to quit and using a nicotine patch.,wellbutrin,1.0,1.0,9.0
Slowed down hyperactivity in a nine year old boy; increased attending a little bit although not strongly.  It does not interfere with sleep which many of the stimpulant meds do.  There were no mood swings until the dosage was increased.,strattera,1.0,4.0,5.0
lowered blood presssure with no notable side effects.The reduction in blood pressure was immediate with no other bothersome side effects,benicar-hct,2.0,3.0,10.0
I took these medications while having severe symptoms of h-pylori which had been going on already for about 10 days(severe stomach pain).  After about 3 days on the medication my syptoms were much improved and soon disappeared.  Before taking this medication I would have bouts of this pain every few months during stressful times and it would take weeks to go away.  Since taking this medication during that three week period two years ago I have had no more syptoms of h-pylori despite several stressful time periods.,amoxil,2.0,3.0,10.0
Fast results vs. traditional antibiotics such as amoxicillin.,zmax,2.0,3.0,10.0
The elavil was taken as a preventative measure for migraines.  I did have fewer migraines while I was taking this medication.  The ones that I did get seemed to be less severe.,elavil,1.0,4.0,7.0
Worked very fast# could feel results within a week. Very effective in lifting severe depression and reduced frequency of panick attacks (though did not eliminate them entirely),effexor-xr,1.0,1.0,7.0
After being diagnosed with narcolepsy# Provigil changed my life.  I had learned to live eternally tired and able to fall asleep at a moment's notice.  After a sleep study revealed narcolepsy and I started on Provigil# I feel as if I've been given a second chance at life.  Provigil helps me to stay awake and be alert....I no longer feel fatigued and always wanting to sleep.  Provigil is an amazing drug and thank God it's available!!!!,provigil,2.0,3.0,10.0
Had to have a partial hysterectomy due to endometreosis.  After the surgery began experiencing hot flashes on a very frequent basis - approximately 1-2 times per hour.  My gynecologist prescribed Premarin .030mg.  Since then I have moved up to the .045 mg dosage which I take once a day.  For the most part# this relieves my symptoms even though I wake up at night on occasion with a night sweat.,premarin,2.0,1.0,9.0
I started having insomnia due to some family issues and had to start taking sleeping pills. With the help of Lunesta I could usually get up to 5 hours of sleep at night on most nights# but then suddenly it stopped working. I could not fall asleep and had to switch to Ambien CR.,lunesta,3.0,1.0,7.0
Control of high blood pressure.  Taken in addition to Cartia XT once daily to control high blood pressure.  The hydrochlorothiazide (HCT) increases the amount of urine removing salt and excess water to help lower high blood pressure.,nexium,2.0,3.0,10.0
My treatment benefits: My pain went away while taking Mobic. My anxiety went away. My mood was lifted.,mobic,2.0,2.0,6.0
The nexium was highly successful in calming the stomach acid. However# it took a long time to do so effectively. I only stopped taking it after a year.,nexium,2.0,3.0,7.0
i could sleep at night. my ms caused tightness everywhere# so i had alot of sleepless nights. lack of sleep made everything worse w/ my ms,baclofen,1.0,1.0,8.0
|I suffered from debilitating migraines.  The first treatments of anti-depressants were effective# but the side effects became intolerable.  After 
trying other types of medications# Effexor (both XR and regular release) have been a blessing. I suffer no side effects and in the laast 5 years have only had to increase the dosage one time.|,effexor,2.0,3.0,9.0
Immediate slowing of loss# but the benefits waned after the first year.,proscar,3.0,1.0,7.0
My spots were reduced dramacially# skin cleared up and felt better. my confidence improved. i would recommend this product to other people.,triaz,2.0,1.0,10.0
My hyperthyroidism is in remission 9 months after stopping the drug.  I had no side effects and even my thyroid nodules are gone.  Pretty amazing!!,tapazole,2.0,3.0,10.0
After a few months of treatment# I was actually able to function and get my social anxiety under control. My emotions became intact# and I enjoyed doing things again.,effexor-xr,2.0,4.0,7.0
I was experiencing anxiety and would take a quarter of a pill to take the edge off.  Within 20-30 minutes the anxiety would decrease a lot.  Mostly I wouldn't even have a full pill in a day.,xanax,2.0,1.0,9.0
The drug was taken for my daily anxiety caused by stress and also insomnia to help relax my body before bed. The drug is mainly intended for anxiety and works great at relieving those systems such as irregular heart beat# nervousness and other anxiety causing symptoms. I give it a 9 out of 10 for its performance.,clonazepam,2.0,1.0,9.0
My son is generally very leary of any type of medicine and even throws up certain cough syrups and acetaminophens that I would give him.  I had two concerns for this oral medication.  First# I was skeptical that this prescription for amoxicillin would be any different in terms of taste and that my son would also throw it up.  Also# being that my son is a diabetic coupled with the fact that he was sick# I was concerned that this medication might have sugars that would affect his blood sugar readings.  I found no real difference in his health for the first two to three days but in the days following# his health improved dramatically to the point where we almost forgot to take it.  Understanding that the antibiotic needed to be taken for the full ten days in order to be the most effective# we continued to take it to the end of the ten days.,amoxil,2.0,3.0,10.0
This has helped reduce my cystic acne that forms on my chin area. Nothing has helped previously.I had tried OTC products including Proactiv as well as RX differin. The cysts still occur occasionally but with far less frequency.,benzaclin,1.0,1.0,8.0
Traeatment with Nasonex was effective at controlling some of my congestion before sinus surgery and all of it after surgery.  The treatment also controlled my allergies to cats and dogs as a bonus!  I stayed 4 days at a freinds house with a dog and was without sneezing and stuffiness# however my asthma was still an issue.,nasonex,1.0,4.0,7.0
Blood pressure was decreased initially to where it should have been# and gradually stopped being so effective,benicar-hct,3.0,2.0,1.0
diclofinac has helped with the pain and swelling of joints.Lefluonomide# for me# had no noticible benefits.,arava,5.0,2.0,1.0
Stop pain of nerve spasms# without the drug# the tri geminal neuralgia pain is considered one of the most painful of all medical conditions.  With this medicine the patient has been able to avoid the risks of neuro surgury and still control the pain.,trileptal,3.0,4.0,7.0
taking the eye drops once a day relieved itching and redness.  there were no side effects.  the treatment stopped my eyes from itching and being red.  it did not seem to have any other side effects.  there is really nothing else to say about it.,pataday,2.0,3.0,9.0
Controls the anxiety and fear of being without breathing.,paxil-cr,3.0,2.0,5.0
reduction in mood swings;night sweats;wt. gain,estrace,1.0,4.0,7.0
Significant improvement in mood# affect# energy# libido# and overall mental status. Significant reduction in anxiety# moodiness# and certain obsessive compulsive traits.,wellbutrin-xl,2.0,3.0,10.0
It provided me Pain releif that enabled me to get up in the morning and pain releif that helped with cramps and pain while sleeping at night. I think it only blocked the pain receptor in my brain but didn't actually provide a cure for the main problem. It was like a mask that may have caused more damagae in the end,oxycontin,1.0,5.0,3.0
I have never felt so good in my life. This drug doesn't make you happy but it gives you a stable state to work from. I also read self-help books and have therapy along with the medicine but I wouldn't have been able to not have extreme highs and lows without Lamotrigine. It saved my relationships and my sanity. Thank God for this medicine.,lamotrigine,2.0,3.0,10.0
I had more energy# better disposition and I slept better. This hormone therapy is great. I think most menopausal women should take it. It made me feel more like my old self.,vivelle-dot,2.0,3.0,10.0
Although I took this drug about 3 to 4 days before I realized it was making me sicker# there were no treatment benefits during the time I was on it.  Actually # I started feel worse about day 3 or 4.  The drug seemed to be enhancing the sinusitus symptoms!,levaquin,5.0,2.0,1.0
Finacea works well# is my everyday solution to acne and rosacea# but I still have occasional breakouts which are more quickly dried up by using Neutragena salicylic acid spot products.  Finacea has a creamier texture# so doesn't dry my skin as much as other products or irritate it# causing redness.  I still require a light moisurizer# in addition to it and the CeraVe moisturizing product that has been packaged with Finacea in a recent promotion works well with it.,finacea,1.0,3.0,8.0
I have been on Effexor XR for about 10 years. I am currently taking 300 mg per day. Before going on Effexor XR I was a crazy person...I tried to commit suicide several times. I still had anger issues and was given Lamictal and my anger has decreased immensely. I had been on so many different antidepressants I thought this was how my life was always going to be# my family slowly watching me sleep myself to death. Since my doctor put me on Effexor XR added Lamictal & Desyrel I feel better than ever. I also found out I'm allergic to wheat# dairy & eggs. Deleting these items from my diet along with the medications has made me a new person.,effexor-xr,1.0,1.0,8.0
enabled me to manage pain without being on narcotics. I did not experience a spacey out of touch feeling as I did when taking vicodin. It did make me a bit sleepy for the first couple of hours after dosing,ultracet,2.0,1.0,9.0
I have had acne since the age of fifteen (15).  I tried several treatments# but the one that has shown improvement to my skin has been Differin.  With Differin# there has been a reduction of blemishes# my skin feels and looks smoother# and  the hyperpigmention of my skin has lightened significantly.,differin,1.0,1.0,7.0
I felt better in about 2 days. Maybe I would of felt better with out the drug. Not quite sure if it really helped.,tamiflu,3.0,4.0,5.0
The problem# Acne Vulgaris# did disappear,accutane,2.0,4.0,10.0
It allowed me to relax and sleep.  My neck and back pain subsided a little.  It made me forget most of my pain.,flexeril,1.0,4.0,8.0
After about 2 weeks# felt much calmer and less depressed. Stressful situations or emotional distress were experienced less acutely and I was able to deal with them much better. Overall feeling of 'who cares' but not to a bad extent.  Also lost about 20 pounds which may be due to it acting as an appetite suppressant? Or maybe because it stopped my stress eating. Either way# nice side effect :),citalopram,2.0,1.0,8.0
this drug works very well to control my heart from racing and fluttering. i have had a echo cardiogram and they say it is nothing serious but it really bothers me and makes me shaky and queasy. it was nice to get relief from this drug.,atenolol,1.0,1.0,9.0
After moving to Okalahoma# allergies became a problem.  Different medicines prescribed and over the counter were tried.  At one point# I had to visit the doctor every six months two get a B12 shot and a steroid shot.  I was not pleased with the such frequent visits to the doctor's office but needed a treat for my new found allergies that were really affecting my work and family life.,zyrtec,2.0,2.0,5.0
|Stabilizes my thyroid function and brings it into a "normal" range.
Consequently my heart rate normalizes|,methimazole,2.0,2.0,5.0
|Reduced desire to smoke
Reduced cravings for cigarettes|,chantix,1.0,5.0,2.0
|I had tons more energy# better sleep# my brittle hair and dry skin improved #cold hands and feet were a thing of the past #but the best part was the fact that my  
horse voice and persistent sore throat got better#also a feeling of well being which I didn't have before taking them # I felt I had control of my life again.|,levoxyl,2.0,3.0,10.0
There was no perceptible benefit to the patient from his point of view; there was an apparent improvement as measured by the doctor.  The doctor advised continuation of the treatment.,metformin,4.0,3.0,3.0
|Felt the "cloud lift" after 6 days or so.
Feel free from depression for the first time in 10 years.
But# glad to be rid of it.|,effexor-xr,1.0,2.0,7.0
Prior to starting 1000 mg acyclovir QID# I was taking the standard 200 mg 5 times a day regimin.  I devloped the shingles in the 5th cranial nerve.  I had lesions following the entire nerve roots across my face# but had them internally as well.  There were lesions in the ear canal# the side of my tongue and down my throat.  I had taken a flu shot and had exposure to sun# as well as starting 2 new jobs about the same time as the first onset.  I developed 1 blister which I thought was herpes. I had not had a herpes outbreak in years. I started the acyclovir and noticed more and different complaints every day.  I first got a lesion on the entrance to the ear canal and more accompanying the first one on my lower chin.  Then my lower teeth began to become painful# as if I had a great toothache.  After about 4 days# I began to feel exhausted and unable to snap out of my fatigue.  The next day I awoke and had a sensation that my mouth was not fully moving.  Later the eye began to remain open and would not blink. The 3rd day of these symtoms# I devloped total paralysis of the left face. I saw 1 of my doctors immediately.  He gave me a cortisone shot and told me the dose of acyclovir to take.  He said it was bell's palsey. A friend called and said it was Ramsay-Hunt.  I was on bedrest from Mid October until 2 weeks ago.  I have very little stamina# and slowly I am getting more energy.  The latest addition to my medication arsenal was Alpha-lipoic acid.  I had statrted lysine and red marine algae.  I stopped coffe# soda# most meat and ate only what little I cooked or made myself.  I am pleased that most of my facial functions have returned# with the exception of the eye bliking completely# and a slight difference in my smile.  I take at least 1 dose of ibuprophen every day due to neuralgia or a sense of swelling in my left face.,valtrex,2.0,3.0,10.0
Very effective in my sleep pattern,tramadol,3.0,2.0,5.0
My blood cholesterol decreased from 260 to 190-210 and my LDLs dropped  and now hover around 100 mg/dl; always had high HDL levels of 84-92.  Needed to keep my VLDLs low too.,lipitor,1.0,3.0,10.0
it did keep my blood pressure lower # and i did feel better.and i felt more at ease driving,atenolol,3.0,3.0,7.0
during 20's and 30's it appeared to create a protective skin barrier and keep acne at bay,cleocin,3.0,4.0,6.0
The number of migraines were reduced from 20+ a month to 12 or even less.  There have been some months when I have had only 5 or less migraines.  More importantly# the intensity of the migraines is considerably reduced.  On a pain scale of 1-10# I would have 12 or 15+ pain# that no amount of medication helped# and they would last for 3 to 5 days.  Now# when I do get a migraine# it's usually at a 2 or 3 pain level# and I rarely need to take more than 1 Relpax for relief.,topamax,3.0,1.0,8.0
Decreased depression,wellbutrin,3.0,4.0,4.0
Benefits of Protonix were a greatly reduced incidence of heartburn and spams in the esophagus.,protonix,1.0,3.0,9.0
The drug reduced symptoms of tiredness and moodiness.   Hair loss was also seemed to improve.,levoxyl,1.0,3.0,9.0
I have not gotten pregnate while using# and I can usually not tell the ring is there.,nuvaring,2.0,4.0,5.0
I was able to relax more than usual# and my mind did not feel like a race car circling a track at 150 miles per hour.  It became easier to focus on the task at hand without worrying about what was on my to-do list and# due to an eating disorder# how much I had eaten or was going to eat that day.,xanax,1.0,1.0,8.0
My skin has become dramatically clearer and it has a fresh glow that I am very happy with.  My skin is smoother# finer# and the darker areas on my forehead (related to sun exposure) have faded almost completely.,differin,2.0,1.0,9.0
My dosage is NOT the standard treatment of 300 mg daily# however at the 100 mg daily dose I get some benefits# including decreased irritability and appetite control# without side effects.,wellbutrin,1.0,1.0,9.0
Totally under control,metformin,2.0,3.0,10.0
I went to the doctor complain of never losing weight despite dieting and exercises# and after some medical evaluation # I was diagnosed with severe insulin resistance# polycysitc ovary syndrome # and hypothyroid #all which contributed to weight problem  # my doctors plan was to take metformin at the maximum dose # 850 mg # 3 times and and to start a medication for my throid # within 3 months I had lost 20 pounds # normalized my periods and reversed my insulin resistance I was instructed to keep taking metformin  for the rest of my life,glucophage,2.0,4.0,8.0
I began taking Climara for perimenopause issues-- insomnia# horrible PMS# moodiness# night sweats. It helped for these issues.,climara,3.0,2.0,5.0
lowered cholesterol by 13% with no side effects,zocor,2.0,3.0,9.0
Clearer thinking; improved outlook and energy level.,synthroid,1.0,1.0,8.0
stopped depression ie. repeatative negative thoughts# suicidal thougts# and general malaise.  relieved insomnia.,effexor,1.0,4.0,8.0
excellent!!!! been using on and off for about 5 yrs now. I have learned how this works so theres no side effects such as really dry flaky skin. i use a little in the am then at night.I do this for about 2 wks. Meanwhile i DO NOT use any scrubs or rub my face # just gently# also NO masks or toners etc. Close to 2 wks# when in a hot shower gentle exfoliate# you will see dead skin coming off. dry your face and ts gonna look dry# flaky and terrible. use PURE COCOBUTTER on your face during the day# then only at night use the triluma# and repeat the exfoliate every few days# then the cocobutter etc# until you get results. My face looks amazing after using this process# but i do not have acne# so not sure how it would  work with the cocobutter# might make the acne worse.  good luck!,tri-luma,2.0,4.0,10.0
I did not notice any benefit myself# although my wife felt I was less 'Snappy'. Hoping to get more benefits now I have moved up to a higher dose.,citalopram,4.0,4.0,6.0
The benefits were that it did help lower my blood pressure.,benicar-hct,3.0,4.0,8.0
Got rid of eczema quickly when applied in a thin layer. I have used this for years without realizing its side effects or being told about the side effects from my doctors or pharmacist.,protopic,2.0,5.0,4.0
Less acne# more controlled cycle,yasmin,4.0,5.0,3.0
My target was to have the a cholestrol reduction from 240 to under 200. I did not want want to take statins because I am not comfortable with drugs that inhibit normal metabolic processes. Evolution is parsimonius# and inhibition of any enzyme is likely to be reflected as an adverse effect in a seemingly unrelated area. Also# I did not want to take red yeast rice# which basically is a non-phrmaceutical grade of a statin. I liked the physical mode of action of Zetia. Within 6 months of starting treatment# my total cholesterol was down from to 200 and my HDL went up from 45 to 58.,zetia,1.0,3.0,9.0
The Atacand worked well for me IF taken consistently without skipping days.  I was able to bring my blood pressure to at least 120/80 and at times a bit lower.  Note that consistency of medication is a key.  Should the 8mg tablet taken once per day not prove as effective as desired# my physician advised that I could take an additional tablet or two per day without problem.,atacand,1.0,3.0,9.0
Decreased the vertigo almost immediately; no further vomiting; I was able to walk and move my head without the awful spinning.,antivert,2.0,4.0,10.0
more motivation#stopped crying in the morning#improved feelings of wellbeing#I could enjoy music and started singing spontaniously at times#something Ihad'nt done in years,wellbutrin,1.0,3.0,10.0
the treatment cleared up the infection# mostly.  It cleared up the infection but I still felt that it was there for a while.  It did get rid of the pain in my ears from the infection really quickly# and the 'blocked up' feeling I had in my ear.,amoxil,1.0,3.0,8.0
outbreaks were reduced from one every few months to one every few years,zovirax,2.0,3.0,10.0
I was able to live without allerigies. Zyrtec alleviated my symptoms except for a slight cough without the drowsiness of other medications.,zyrtec,2.0,3.0,9.0
much improved sleep without waking in the middle of the night.,ambien-cr,2.0,1.0,10.0
I did not experience benefits as the medication was too harsh# forcing me to have to stop application.,retin-a,5.0,4.0,5.0
less depression and suicidal ideation. I was not responding to any other anti-depressants and this one sometimes works for people who do not respond to others. Maybe it's because it makes you sleep very well. Sometimes it is prescribed as a mild sleeping pill.,desyrel,1.0,4.0,7.0
Highly effective in birth control# actually stopped my daily headaches# made me regular,ortho-tri-cyclen,2.0,4.0,8.0
I first began taking Topamax when I was fifteen. I had severe migraines about five every week. When I started it did automatically begin helping me with the headaches# and then the side effects sat in very soon after. Yet# the weight loss side effect was the only positive. I lost twenty pounds.,topamax,3.0,5.0,3.0
Clomiphene citrate or clomid is used for treatments of fertiliy in women. It triggers the ovaries to ripen more ovuls and to invrease the change of conceiving.,clomid,4.0,5.0,1.0
relief of insomnia,trazodone,1.0,1.0,8.0
there were no treatment benefits in taking this drug,keflex,5.0,2.0,2.0
The treatment quieted the nerve endings givig them a chance to calm down from the chronic pain cycle.  It allowed the nervous system to regulate itself properly again.,lyrica,3.0,4.0,8.0
Acne outbreaks healed quicker than using no medication.,duac,3.0,4.0,6.0
I would have complete relief from acid reflux if I took the medication daily.  If I skipped a day# I would start to have severe gastric distress from acid reflux# would then have to take the Prilosec as well as an instant-acting Tums or Rolaids.,prilosec,1.0,3.0,9.0
This is my second wee taking the meds and i weighed myself the other day i have lost 14lbs already and i still have a few more weeks to go before the month is up..,adipex-p,2.0,4.0,8.0
I have suffered from insomnia off and on for a number of years.   Fluvoxamine is an antidepressant and# as I didn't feel depressed# I was a little dubious initially.  My GP suggested I try it as I was unwilling to take any sedative-type pills.  After the initial start-up period (around two weeks) I found it made a big difference.  I now go to bed and sleep normally without any side effects such as drowsiness.  My GP suggested that I might have had a level of depression which was affecting my sleep# I don't know# although I do feel better generally as well as sleeping well.,fluvoxamine,2.0,3.0,9.0
Helped with sinus congestion and sneezing# and allowed me to be able to breathe better throught the night and wake up less stuffy.,flonase,1.0,1.0,8.0
Helped rid nose of pre cancer outbreaks,retin-a-micro,3.0,2.0,5.0
|Stops and Prevented breakouts of hives!

I am severly allergic to most foods and plants# everything breaks me out.
Thanks to this pill# this won't happen any more.|,fexofenadine,2.0,3.0,10.0
Being able to focus# weight loss# more energy# staying on task# more relaxed once it kicked in or wore off.  Slowed down my thought process# anxiety went done# not over thinking and less of a worrier.  No explosive episodes with family# stablized my moods.  Work non stop# focused on tasks# can sit and stay still# read books for longer then 5 minutes.  If you don't have ADHD and take this drug it will make you a hyperactive spaz and will have the oppositve effects.,adderall,2.0,1.0,10.0
We could not identify any benefits at all.  The behavior and memory problems remained unchanged or worsened over time.  Anxiety continued to increase and the dementia progressed systematically.  Disorientation continued to increase and the patient became more and more difficult to manage.  It appeared that irritability increased and the patient became more agitated more easily.,aricept,5.0,1.0,2.0
This medication greatly helped me to sleep well.  I felt more restored after a nights sleep.  I no longer had trouble going to sleep and no trouble with waking up in the middle of the night# and not being able to get back to sleep.  Unfortunately this medication did not seem to help with the Fibromyalgia very much.,trazodone,3.0,1.0,5.0
Initially felt good# then after a week knee pain started.  Week later started getting bumps on my legs.  Kept thinking I was doing something else wrong# blamed it on new shoes# etc.  Knees hurt# were creaking and pain got worse. Bumps were scary.,tirosint,5.0,5.0,1.0
The treatment benefits are long term.  There is no immediate benefit to be seen.  My doctor advised me that a follow-up dexa scan should be performed in two years to determine if the treatment is effective in reversing or at least arresting the osteopenia.  The drug is supposed to reduce risk of breast cancer.,evista,2.0,1.0,9.0
Mood was uplifted and dosage was easy (once daily). convenient dosage form,citalopram,2.0,1.0,8.0
less fatigue# decreased head aches#skin became less red in color joint pains reduced# slept better,doxycycline,2.0,3.0,8.0
With the Lyrica It helps the pain.,lyrica,1.0,2.0,8.0
I had morning-to-night headaches for two weeks prior to taking the medication. My doctor ascertained that these were most likely tension headaches. The morning after taking the first dose# I had no headache# and I remained headache-free for 2 days.  Now# on the third day# the headache is returning# so I plan to take another dose tonight.,flexeril,2.0,1.0,9.0
Slight increase in bone density in hips# however no change in back (vertabrae),fosamax,3.0,4.0,3.0
I presented with General Anxiety Disorder and Aggitated Depression.  I was unfocused# angry# anxious and had racing thoughts.  Wellbutrin XL helped with depression# unfocused thinking and racing thoughts.  I was more focused during the day and was able to complete tasks.  It also helped so that I would not fly off the handle and it helped me stay out of bed.  In a nutshell# it helped me with energy.  A main help was with the sexual side effects of Lexapro# a seratonin reuptake inhibitor.  Lexapro would dimish my libido and make it difficult to reach orgasm.  Wellbutrin really helped to conteract these side effects and gave me even energy during the day.,wellbutrin-xl,1.0,1.0,10.0
THe zomig nasal spray is generally very effective in curing migraine. 80% of the time the pain is 75% or more gone within an hour. Another 15% of the time it takes up to 2 hours.  5% of the time the pain is only lessen.  However lately some of the single dose units do not discharge the medication properly. Instead of a spray# you get a drop or two.  When this happens# the frequency of the pain not going away by at least 75% goes up. A couple of times it seemed virtually ineffective.  If the quality control doesn't improve# I may have to switch to a different Triptan.,zomig,3.0,1.0,6.0
The treatmen was very effective as it helped keep pores clean due to exfoliation. the acne deminished after regular use for around 3 weeks# although it seemed to increase at first. This was expected according to directions.,tazorac,1.0,1.0,8.0
decrease in frequency and severity of acne lesions. Blackheads were not as noticeable and pustules were much reduced in size and number.,duac,1.0,4.0,6.0
After I started taking the medicine at the proper time of day# I no longer had to sit up to sleep. No longer have acid backup into my throat or throw up. As long as I didnt eat especially fatty or rich foods after 9 pm I was able to have a good sleep.,nexium,2.0,3.0,10.0
took wellbutrin comined with lexapro. younger doctor willing to mix and match drugs to get the disired effect. an overall big difference was noted with mood swingsand crying spells where i couldn't get myself together in a reasonable amount of time,wellbutrin,1.0,3.0,8.0
skin renewal# peeling# immediate results.  after a day or two# facial skin is peeling.,tazorac,1.0,4.0,8.0
felt better hard to tell as mood changes so much not sureif in head or not but do fet better so thats something to take from this,lexapro,3.0,2.0,7.0
blood pressure medicine currently controling BP well. thyroid medication keeps TSH level at optimum level. No side effects from either medication. Very low dose of both,synthroid,1.0,1.0,7.0
|If there were benefits# they were minimal. The only thing I noticed was how dry my skin became
from use of Metrogel.|,metrogel,5.0,1.0,2.0
None. I only took them for a couple of days# but had to stop because of the side-effects.,seroquel,5.0,2.0,1.0
At the onset of my condition of hives# I tried to avoid taking any medications and was hoping to ride it out.  By the second day# the itching got unbearable so I gave in and took Benadryl to counteract the severe itching I was having.  At this stage# the hives were in full swing so the medication was only 50% effective but it helped enough for me to resist scratching myself.  As time went by# the itching slowly subsided and the hives went away (lasted about five days).,benadryl,1.0,3.0,9.0
Very effective reduction in pain from an injury# and later when having vulvar vestibulitis flare ups.,naproxen,1.0,1.0,8.0
Muscle pain from fibromyalgia was reduced; able to more actively participate in life activities.,lyrica,1.0,1.0,8.0
To stop the infection of cystitis and other urine infections when it became too painful.It makes the passing of water less painful and reduces the passing of bloody quicker which can become very painful.,trimethoprim,3.0,3.0,6.0
|None# took Armour for 17 years# felt great.  New Dr. wouldn't prescribe Armour.
Finally am back on Armour 1 gram or .60mcg per day.  I feel like a new person in just 5 days.  More energy# more positive# sugar cravings stopped. Over all feel 100% better.  As far as I am concerned that Dr. took 6 years out of my life. New Female Dr. finally put me back on Armour.  It was unavailable for almost a year. I think it was all about money. Armour is less costly and moree effective.|,levoxyl,5.0,3.0,1.0
took it at night and the depression was lifted the next day! Made me feel happy and with no cares in the world. Had a much better mood and outlook on life!  I didn't get angry as easily and my overall mood was stable.  I also felt more like my "normal" old self!!,cymbalta,1.0,2.0,3.0
prevented getting pregnant,yasmin,3.0,5.0,1.0
